service_id,date,exception_type
FESINV08_010802,20210905,1
FESINV08_010801,20210912,1
FESINV08_010802,20210912,1
FESINV08_010801,20210919,1
FESINV08_010802,20210919,1
FESINV08_010801,20210926,1
FESINV08_010802,20210926,1
FESINV08_010801,20211003,1
FESINV08_010802,20211003,1
FESINV08_010801,20211010,1
FESINV08_010802,20211010,1
FESINV08_010801,20211017,1
FESINV08_010802,20211017,1
FESINV08_010801,20211024,1
FESINV08_010802,20211024,1
FESINV08_010801,20211031,1
FESINV08_010802,20211031,1
FESINV09_010903,20210613,1
FESINV09_010904,20210613,1
FESINV09_010903,20210620,1
FESINV09_010904,20210620,1
FESINV09_010903,20210627,1
FESINV09_010904,20210627,1
FESINV09_010903,20210704,1
FESINV09_010904,20210704,1
FESINV09_010903,20210711,1
FESINV09_010904,20210711,1
FESINV09_010903,20210718,1
FESINV09_010904,20210718,1
FESINV09_010903,20210725,1
FESINV09_010904,20210725,1
FESINV09_010903,20210905,1
FESINV09_010904,20210905,1
FESINV09_010903,20210912,1
FESINV09_010904,20210912,1
FESINV09_010903,20210919,1
FESINV09_010904,20210919,1
FESINV09_010903,20210926,1
FESINV09_010904,20210926,1
FESINV09_010903,20211003,1
FESINV09_010904,20211003,1
FESINV09_010903,20211010,1
FESINV09_010904,20211010,1
FESINV09_010903,20211017,1
FESINV09_010904,20211017,1
FESINV09_010903,20211024,1
FESINV09_010904,20211024,1
FESINV09_010903,20211031,1
FESINV09_010904,20211031,1
FESINV2A_010201,20210613,1
FESINV2A_010202,20210613,1
FESINV2A_010201,20210620,1
FESINV2A_010202,20210620,1
FESINV2A_010201,20210627,1
FESINV2A_010202,20210627,1
FESINV2A_010201,20210704,1
FESINV2A_010202,20210704,1
FESINV2A_010201,20210711,1
FESINV2A_010202,20210711,1
FESINV2A_010201,20210718,1
FESINV2A_010202,20210718,1
FESINV2A_010201,20210725,1
FESINV2A_010202,20210725,1
FESINV2A_010201,20210905,1
FESINV2A_010202,20210905,1
FESINV2A_010201,20210912,1
FESINV2A_010202,20210912,1
FESINV2A_010201,20210919,1
FESINV2A_010202,20210919,1
FESINV2A_010201,20210926,1
FESINV2A_010202,20210926,1
FESINV2A_010201,20211003,1
FESINV2A_010202,20211003,1
FESINV2A_010201,20211010,1
FESINV2A_010202,20211010,1
FESINV2A_010201,20211017,1
FESINV2A_010202,20211017,1
