shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_9,42.835264129901,-2.66950398519356,1042,11330
Route_9,42.8355789679108,-2.66938377207393,1043,11366
Route_9,42.8358964980215,-2.66927084950447,1044,11403
Route_10,42.8361007385757,-2.66919821522206,1045,24
Route_10,42.8361547075971,-2.66917651430334,1046,30
Route_10,42.8362085308489,-2.66910434006211,1047,39
Route_10,42.8363029500914,-2.66905718624488,1048,50
Route_10,42.8365143278799,-2.66897193508436,1049,74
Route_10,42.837324153899,-2.66874736053543,1050,166
Route_10,42.8383365750277,-2.66851481470639,1051,280
Route_10,42.838377060529,-2.66850159707326,1052,285
Route_10,42.8384084103194,-2.66844330587953,1053,291
Route_10,42.8384352752198,-2.66839115688339,1054,296
Route_10,42.8384441497469,-2.66834598707715,1055,300
Route_10,42.8384814062694,-2.66721925738111,1056,392
Route_10,42.8385393374633,-2.66701168934345,1057,410
Route_10,42.8387219735562,-2.66633387051766,1058,469
Route_10,42.8388022911573,-2.66608335212291,1059,491
Route_10,42.8389538392027,-2.66555482983835,1060,538
Route_10,42.8392438053761,-2.66462939341222,1061,620
Route_10,42.8392929865384,-2.66451058412316,1062,631
Route_10,42.839583294492,-2.66370444471194,1063,704
Route_10,42.8396325892124,-2.66362463825813,1064,713
Route_10,42.839717944827,-2.66355840256297,1065,724
Route_10,42.8398618719377,-2.66350485068032,1066,740
Route_10,42.8400103397761,-2.66346427560818,1067,757
Route_10,42.8401724725564,-2.66347716272655,1068,775
Route_10,42.8402715671755,-2.66348962699803,1069,786
Route_10,42.8403482275851,-2.66352898131311,1070,795
Route_10,42.8416325809189,-2.66390442867669,1071,941
Route_10,42.8419525725417,-2.66400824164214,1072,978
Route_10,42.8430117577655,-2.66437192422378,1073,1099
Route_10,42.8435571077369,-2.66455330250482,1074,1161
Route_10,42.8444224503782,-2.66483927010568,1075,1260
Route_10,42.8456888510125,-2.66523628214956,1076,1405
Route_10,42.8462295650499,-2.66537257267832,1077,1466
Route_10,42.8466396711205,-2.66549809652539,1078,1512
Route_10,42.8470408745946,-2.66565885504253,1079,1559
Route_10,42.848050057301,-2.66586223439585,1080,1672
Route_10,42.8490817857294,-2.66607697264508,1081,1788
Route_10,42.8503207894622,-2.66634491293181,1082,1927
Route_10,42.85133887314,-2.66651307854576,1083,2041
Route_10,42.8521000769478,-2.66660230993503,1084,2126
Route_10,42.8531859029865,-2.6668404974779,1085,2248
Route_10,42.854064515199,-2.66704691156295,1086,2347
Route_10,42.8540868367625,-2.66698100352133,1087,2353
Route_10,42.8541181811916,-2.66692116680575,1088,2359
Route_10,42.8541496034418,-2.66688810390586,1089,2364
Route_10,42.8541720405912,-2.66686197406141,1090,2367
Route_10,42.8542125057535,-2.66684186719058,1091,2372
Route_10,42.8542710589958,-2.66684843746077,1092,2378
Route_10,42.8543071350513,-2.66686736819978,1093,2382
Route_10,42.8543387508089,-2.66690085758062,1094,2387
Route_10,42.854383776363,-2.66690061573458,1095,2392
Route_10,42.8544287440857,-2.66688048463325,1096,2397
Route_10,42.854917583229,-2.66621155303621,1097,2474
Route_10,42.8554198679803,-2.66552264846464,1098,2553
Route_10,42.85579200631,-2.66498208115628,1099,2614
Route_10,42.8558951600413,-2.66484305861478,1100,2630
Route_10,42.8570341443999,-2.66324643538218,1101,2812
Route_10,42.8571103751539,-2.66313968411463,1102,2824
Route_10,42.8571910903565,-2.66302678807544,1103,2837
Route_10,42.8573928114274,-2.66272197896694,1104,2870
Route_10,42.8578098196637,-2.66213293653636,1105,2937
Route_10,42.8582359248333,-2.6615759677778,1106,3003
Route_10,42.8584915187389,-2.66121883221422,1107,3043
Route_10,42.8586126191602,-2.66105980832311,1108,3062
Route_10,42.85906551889,-2.66042999938121,1109,3134
Route_10,42.8592852453836,-2.66012583891159,1110,3169
Route_10,42.8599309646202,-2.65923101469435,1111,3271
Route_10,42.8605857046352,-2.65834377267191,1112,3374
Route_10,42.8613254711612,-2.65728390170348,1113,3493
Route_10,42.8613030774418,-2.65732380903268,1114,3497
Route_10,42.8614734415882,-2.65707804493389,1115,3525
Route_10,42.8622045884342,-2.65615055013981,1116,3636
Route_10,42.8624556579391,-2.65579186418646,1117,3676
Route_10,42.8625902375982,-2.65562585884221,1118,3697
Route_10,42.8629262618906,-2.65507006846817,1119,3755
Route_10,42.8633346009695,-2.65460568023075,1120,3814
Route_10,42.8638733917123,-2.65410077287119,1121,3887
Route_10,42.8640169207833,-2.65391711274149,1122,3909
Route_10,42.8641327703797,-2.65351402180434,1123,3944
Route_10,42.8641370530626,-2.65344131307677,1124,3950
Route_10,42.8641323908055,-2.65338854703349,1125,3955
Route_10,42.8641411944729,-2.6533219338394,1126,3960
Route_10,42.8641725524913,-2.65326896633376,1127,3966
Route_10,42.8641903009499,-2.6531824103434,1128,3973
Route_10,42.8641989376797,-2.65306071051677,1129,3983
Route_10,42.8641712293949,-2.65283209964735,1130,4002
Route_10,42.8637541844468,-2.64895691690874,1131,4322
Route_10,42.8637270449443,-2.6489165203992,1132,4326
Route_10,42.8636909824212,-2.64890295287817,1133,4331
Route_10,42.8636414146225,-2.64889022696046,1134,4336
Route_10,42.8635648503441,-2.64888377473717,1135,4345
Route_10,42.8635197006566,-2.64884348040103,1136,4351
Route_10,42.8634699452079,-2.64876954804477,1137,4359
Route_10,42.863429197137,-2.64869632985785,1138,4366
Route_10,42.8633883434123,-2.6485886831457,1139,4376
Route_10,42.8633745259531,-2.64848776911409,1140,4385
Route_10,42.8633786974287,-2.6483798672545,1141,4393
Route_10,42.8634098628978,-2.64826492637864,1142,4404
Route_10,42.8634725883237,-2.64816357797014,1143,4414
Route_10,42.8635488635838,-2.64807592415606,1144,4425
Route_10,42.8635982880943,-2.64804197933837,1145,4432
Route_10,42.863620697359,-2.64800818785857,1146,4435
Route_10,42.8636521116918,-2.64797434521867,1147,4440
Route_10,42.8635961775494,-2.64735569990027,1148,4491
Route_10,42.8635676893277,-2.64687767696296,1149,4530
Route_10,42.8635711324389,-2.64653412923349,1150,4558
Route_10,42.8636059670427,-2.64614985219348,1151,4590
Route_10,42.8637072780261,-2.64542243109267,1152,4650
Route_10,42.8638095236745,-2.64499798144749,1153,4686
Route_10,42.8639073672735,-2.644606454948,1154,4720
Route_10,42.8641437873398,-2.6438920234811,1155,4784
Route_10,42.8642560105999,-2.64378196887075,1156,4800
Route_10,42.8647784378116,-2.64237651848716,1157,4928
Route_10,42.8654749251547,-2.64048495047889,1158,5101
Route_10,42.8655243929979,-2.64046553557261,1159,5107
Route_10,42.8657722124486,-2.64052148241994,1160,5135
Route_10,42.8664294430842,-2.64047329328801,1161,5208
Route_10,42.8665959767792,-2.6404531990258,1162,5226
Route_10,42.8666456439191,-2.64049728869911,1163,5233
Route_10,42.8666774809593,-2.64059886691824,1164,5242
Route_10,42.866691869189,-2.64087958786505,1165,5265
Route_10,42.8668103534166,-2.64277261300659,1166,5420
Route_10,42.8668295964089,-2.6431680775457,1167,5452
Route_10,42.866976934004,-2.64566693544707,1168,5657
Route_10,42.8670625447779,-2.64714546002413,1169,5778
Route_10,42.8671485611709,-2.64876247678608,1170,5911
Route_10,42.8672619248482,-2.65049564533728,1171,6053
Route_10,42.8672738680312,-2.65069981265222,1172,6070
Route_10,42.8672904260272,-2.65098288007759,1173,6093
Route_10,42.867533968599,-2.65111464398324,1174,6122
Route_10,42.8695104348416,-2.64958006634954,1175,6375
Route_10,42.8718416364349,-2.64773653136438,1176,6674
Route_10,42.8738090855263,-2.64621326815005,1177,6926
Route_10,42.8738853543662,-2.64612406681262,1178,6937
Route_10,42.8739436863105,-2.64605868965745,1179,6945
Route_10,42.8739480067735,-2.64599974271755,1180,6950
Route_10,42.8756184405359,-2.64453470431519,1181,7171
Route_10,42.8764939205831,-2.64372080681936,1182,7289
Route_10,42.8769204604161,-2.64333266277822,1183,7346
Route_10,42.8775988445108,-2.6428481687181,1184,7431
Route_10,42.8780122557817,-2.64258253135367,1185,7481
